image_ts,image_file,cmd_ts,dt,vel_left,vel_right
1774571834.7665262,images/1774571834.766526.png,1774571834.747824,0.018702268600463867,0.0,0.0
1774571834.8000607,images/1774571834.800061.png,1774571834.778377,0.021683692932128906,0.0,0.0
1774571834.8336353,images/1774571834.833635.png,1774571834.8126962,0.020939111709594727,0.0,0.0
1774571834.8665192,images/1774571834.866519.png,1774571834.8474379,0.01908135414123535,0.0,0.0
1774571834.900065,images/1774571834.900065.png,1774571834.8787136,0.021351337432861328,0.0,0.0
1774571834.9333706,images/1774571834.933371.png,1774571834.9123833,0.020987272262573242,0.0,0.0
1774571834.9669235,images/1774571834.966923.png,1774571834.9475787,0.019344806671142578,0.0,0.0
1774571835.000496,images/1774571835.000496.png,1774571834.9817178,0.018778085708618164,0.0,0.0
1774571835.0330453,images/1774571835.033045.png,1774571835.01415,0.018895387649536133,0.0,0.0
1774571835.0664182,images/1774571835.066418.png,1774571835.0466647,0.019753456115722656,0.0,0.0
1774571835.0998833,images/1774571835.099883.png,1774571835.0804567,0.019426584243774414,0.0,0.0
1774571835.1340096,images/1774571835.134010.png,1774571835.1155043,0.018505334854125977,0.0,0.0
1774571835.1669214,images/1774571835.166921.png,1774571835.156026,0.010895490646362305,0.0,0.0
1774571835.2002187,images/1774571835.200219.png,1774571835.156026,0.04419279098510742,0.0,0.0
1774571835.233491,images/1774571835.233491.png,1774571835.156026,0.07746505737304688,0.0,0.0
1774571835.2666156,images/1774571835.266616.png,1774571835.156026,0.11058974266052246,0.0,0.0
1774571835.3002584,images/1774571835.300258.png,1774571835.156026,0.14423251152038574,0.0,0.0
1774571835.333115,images/1774571835.333115.png,1774571835.156026,0.17708921432495117,0.0,0.0
1774571836.1332538,images/1774571836.133254.png,1774571836.1239648,0.009289026260375977,0.0,0.0
1774571836.168136,images/1774571836.168136.png,1774571836.1579466,0.010189294815063477,0.0,0.0
1774571836.200989,images/1774571836.200989.png,1774571836.1907084,0.010280609130859375,0.0,0.0
1774571836.2335854,images/1774571836.233585.png,1774571836.2241862,0.009399175643920898,0.0,0.0
1774571836.268654,images/1774571836.268654.png,1774571836.26083,0.007824182510375977,0.0,0.0
1774571836.3005285,images/1774571836.300529.png,1774571836.2929971,0.007531404495239258,0.0,0.0
1774571836.3336043,images/1774571836.333604.png,1774571836.3258972,0.007707118988037109,0.0,0.0
1774571836.3667119,images/1774571836.366712.png,1774571836.359864,0.006847858428955078,0.0,0.0
1774571836.4002266,images/1774571836.400227.png,1774571836.3935204,0.00670623779296875,0.0,0.0
1774571836.43349,images/1774571836.433490.png,1774571836.4276173,0.0058727264404296875,0.0,0.0
1774571836.4669147,images/1774571836.466915.png,1774571836.4606636,0.006251096725463867,0.0,0.0
1774571836.5004404,images/1774571836.500440.png,1774571836.4946911,0.005749225616455078,0.0,0.0
1774571836.5333507,images/1774571836.533351.png,1774571836.5280535,0.005297183990478516,0.0,0.0
